id,title,description,incident_type,severity,status,date,created_at,reported_by
630,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-09-22,2025-09-22 00:00:00,analyst2
631,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-09-23,2025-09-23 00:00:00,soc_user
632,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-09-24,2025-09-24 00:00:00,admin
633,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-09-25,2025-09-25 00:00:00,analyst1
634,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-09-26,2025-09-26 00:00:00,analyst2
635,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-09-27,2025-09-27 00:00:00,soc_user
636,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-09-28,2025-09-28 00:00:00,admin
637,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-09-29,2025-09-29 00:00:00,analyst1
638,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-09-30,2025-09-30 00:00:00,analyst2
639,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-10-01,2025-10-01 00:00:00,soc_user
640,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-10-02,2025-10-02 00:00:00,admin
641,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-10-03,2025-10-03 00:00:00,analyst1
642,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-10-04,2025-10-04 00:00:00,analyst2
643,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-10-05,2025-10-05 00:00:00,soc_user
644,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-10-06,2025-10-06 00:00:00,admin
645,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-10-07,2025-10-07 00:00:00,analyst1
646,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-10-08,2025-10-08 00:00:00,analyst2
647,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-10-09,2025-10-09 00:00:00,soc_user
648,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-10-10,2025-10-10 00:00:00,admin
649,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-10-11,2025-10-11 00:00:00,analyst1
650,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-10-12,2025-10-12 00:00:00,analyst2
651,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-10-13,2025-10-13 00:00:00,soc_user
652,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-10-14,2025-10-14 00:00:00,admin
653,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-10-15,2025-10-15 00:00:00,analyst1
654,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-10-16,2025-10-16 00:00:00,analyst2
655,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-10-17,2025-10-17 00:00:00,soc_user
656,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-10-18,2025-10-18 00:00:00,admin
657,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-10-19,2025-10-19 00:00:00,analyst1
658,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-10-20,2025-10-20 00:00:00,analyst2
659,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-10-21,2025-10-21 00:00:00,soc_user
660,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-10-22,2025-10-22 00:00:00,admin
661,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-10-23,2025-10-23 00:00:00,analyst1
662,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-10-24,2025-10-24 00:00:00,analyst2
663,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-10-25,2025-10-25 00:00:00,soc_user
664,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-10-26,2025-10-26 00:00:00,admin
665,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-10-27,2025-10-27 00:00:00,analyst1
666,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-10-28,2025-10-28 00:00:00,analyst2
667,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-10-29,2025-10-29 00:00:00,soc_user
668,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-10-30,2025-10-30 00:00:00,admin
669,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-10-31,2025-10-31 00:00:00,analyst1
670,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-11-01,2025-11-01 00:00:00,analyst2
671,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-11-02,2025-11-02 00:00:00,soc_user
672,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-11-03,2025-11-03 00:00:00,admin
673,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-11-04,2025-11-04 00:00:00,analyst1
674,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-11-05,2025-11-05 00:00:00,analyst2
675,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-11-06,2025-11-06 00:00:00,soc_user
676,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-11-07,2025-11-07 00:00:00,admin
677,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-11-08,2025-11-08 00:00:00,analyst1
678,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-11-09,2025-11-09 00:00:00,analyst2
679,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-11-10,2025-11-10 00:00:00,soc_user
680,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-11-11,2025-11-11 00:00:00,admin
681,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-11-12,2025-11-12 00:00:00,analyst1
682,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-11-13,2025-11-13 00:00:00,analyst2
683,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-11-14,2025-11-14 00:00:00,soc_user
684,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-11-15,2025-11-15 00:00:00,admin
685,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-11-16,2025-11-16 00:00:00,analyst1
686,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-11-17,2025-11-17 00:00:00,analyst2
687,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-11-18,2025-11-18 00:00:00,soc_user
688,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-11-19,2025-11-19 00:00:00,admin
689,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-11-20,2025-11-20 00:00:00,analyst1
690,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-11-21,2025-11-21 00:00:00,analyst2
691,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-11-22,2025-11-22 00:00:00,soc_user
692,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-11-23,2025-11-23 00:00:00,admin
693,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-11-24,2025-11-24 00:00:00,analyst1
694,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-11-25,2025-11-25 00:00:00,analyst2
695,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-11-26,2025-11-26 00:00:00,soc_user
696,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-11-27,2025-11-27 00:00:00,admin
697,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-11-28,2025-11-28 00:00:00,analyst1
698,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-11-29,2025-11-29 00:00:00,analyst2
699,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-11-30,2025-11-30 00:00:00,soc_user
700,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-12-01,2025-12-01 00:00:00,admin
701,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-12-02,2025-12-02 00:00:00,analyst1
702,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-12-03,2025-12-03 00:00:00,analyst2
703,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-12-04,2025-12-04 00:00:00,soc_user
704,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-12-05,2025-12-05 00:00:00,admin
705,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-12-06,2025-12-06 00:00:00,analyst1
706,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-12-07,2025-12-07 00:00:00,analyst2
707,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-12-08,2025-12-08 00:00:00,soc_user
708,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-12-09,2025-12-09 00:00:00,admin
709,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-12-10,2025-12-10 00:00:00,analyst1
710,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-12-11,2025-12-11 00:00:00,analyst2
711,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2025-12-12,2025-12-12 00:00:00,soc_user
712,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2025-12-13,2025-12-13 00:00:00,admin
713,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2025-12-14,2025-12-14 00:00:00,analyst1
714,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2025-12-15,2025-12-15 00:00:00,analyst2
715,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2025-12-16,2025-12-16 00:00:00,soc_user
716,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2025-12-17,2025-12-17 00:00:00,admin
717,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2025-12-18,2025-12-18 00:00:00,analyst1
718,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2025-12-19,2025-12-19 00:00:00,analyst2
719,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2025-12-20,2025-12-20 00:00:00,soc_user
720,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2025-12-21,2025-12-21 00:00:00,admin
721,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2025-12-22,2025-12-22 00:00:00,analyst1
722,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2025-12-23,2025-12-23 00:00:00,analyst2
723,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2025-12-24,2025-12-24 00:00:00,soc_user
724,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2025-12-25,2025-12-25 00:00:00,admin
725,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2025-12-26,2025-12-26 00:00:00,analyst1
726,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2025-12-27,2025-12-27 00:00:00,analyst2
727,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2025-12-28,2025-12-28 00:00:00,soc_user
728,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2025-12-29,2025-12-29 00:00:00,admin
729,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2025-12-30,2025-12-30 00:00:00,analyst1
730,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2025-12-31,2025-12-31 00:00:00,analyst2
731,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-01-01,2026-01-01 00:00:00,soc_user
732,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-01-02,2026-01-02 00:00:00,admin
733,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-01-03,2026-01-03 00:00:00,analyst1
734,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-01-04,2026-01-04 00:00:00,analyst2
735,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-01-05,2026-01-05 00:00:00,soc_user
736,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-01-06,2026-01-06 00:00:00,admin
737,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-01-07,2026-01-07 00:00:00,analyst1
738,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-01-08,2026-01-08 00:00:00,analyst2
739,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-01-09,2026-01-09 00:00:00,soc_user
740,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2026-01-10,2026-01-10 00:00:00,admin
741,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2026-01-11,2026-01-11 00:00:00,analyst1
742,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2026-01-12,2026-01-12 00:00:00,analyst2
743,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2026-01-13,2026-01-13 00:00:00,soc_user
744,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2026-01-14,2026-01-14 00:00:00,admin
745,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2026-01-15,2026-01-15 00:00:00,analyst1
746,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2026-01-16,2026-01-16 00:00:00,analyst2
747,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2026-01-17,2026-01-17 00:00:00,soc_user
748,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2026-01-18,2026-01-18 00:00:00,admin
749,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2026-01-19,2026-01-19 00:00:00,analyst1
750,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2026-01-20,2026-01-20 00:00:00,analyst2
751,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-01-21,2026-01-21 00:00:00,soc_user
752,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-01-22,2026-01-22 00:00:00,admin
753,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-01-23,2026-01-23 00:00:00,analyst1
754,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-01-24,2026-01-24 00:00:00,analyst2
755,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-01-25,2026-01-25 00:00:00,soc_user
756,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-01-26,2026-01-26 00:00:00,admin
757,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-01-27,2026-01-27 00:00:00,analyst1
758,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-01-28,2026-01-28 00:00:00,analyst2
759,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-01-29,2026-01-29 00:00:00,soc_user
760,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2026-01-30,2026-01-30 00:00:00,admin
761,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2026-01-31,2026-01-31 00:00:00,analyst1
762,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2026-02-01,2026-02-01 00:00:00,analyst2
763,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2026-02-02,2026-02-02 00:00:00,soc_user
764,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2026-02-03,2026-02-03 00:00:00,admin
765,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2026-02-04,2026-02-04 00:00:00,analyst1
766,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2026-02-05,2026-02-05 00:00:00,analyst2
767,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2026-02-06,2026-02-06 00:00:00,soc_user
768,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2026-02-07,2026-02-07 00:00:00,admin
769,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2026-02-08,2026-02-08 00:00:00,analyst1
770,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2026-02-09,2026-02-09 00:00:00,analyst2
771,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-02-10,2026-02-10 00:00:00,soc_user
772,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-02-11,2026-02-11 00:00:00,admin
773,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-02-12,2026-02-12 00:00:00,analyst1
774,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-02-13,2026-02-13 00:00:00,analyst2
775,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-02-14,2026-02-14 00:00:00,soc_user
776,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-02-15,2026-02-15 00:00:00,admin
777,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-02-16,2026-02-16 00:00:00,analyst1
778,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-02-17,2026-02-17 00:00:00,analyst2
779,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-02-18,2026-02-18 00:00:00,soc_user
780,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2026-02-19,2026-02-19 00:00:00,admin
781,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2026-02-20,2026-02-20 00:00:00,analyst1
782,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2026-02-21,2026-02-21 00:00:00,analyst2
783,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2026-02-22,2026-02-22 00:00:00,soc_user
784,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2026-02-23,2026-02-23 00:00:00,admin
785,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2026-02-24,2026-02-24 00:00:00,analyst1
786,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2026-02-25,2026-02-25 00:00:00,analyst2
787,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2026-02-26,2026-02-26 00:00:00,soc_user
788,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2026-02-27,2026-02-27 00:00:00,admin
789,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2026-02-28,2026-02-28 00:00:00,analyst1
790,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2026-03-01,2026-03-01 00:00:00,analyst2
791,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-03-02,2026-03-02 00:00:00,soc_user
792,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-03-03,2026-03-03 00:00:00,admin
793,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-03-04,2026-03-04 00:00:00,analyst1
794,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-03-05,2026-03-05 00:00:00,analyst2
795,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-03-06,2026-03-06 00:00:00,soc_user
796,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-03-07,2026-03-07 00:00:00,admin
797,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-03-08,2026-03-08 00:00:00,analyst1
798,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-03-09,2026-03-09 00:00:00,analyst2
799,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-03-10,2026-03-10 00:00:00,soc_user
800,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2026-03-11,2026-03-11 00:00:00,admin
801,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2026-03-12,2026-03-12 00:00:00,analyst1
802,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2026-03-13,2026-03-13 00:00:00,analyst2
803,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2026-03-14,2026-03-14 00:00:00,soc_user
804,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2026-03-15,2026-03-15 00:00:00,admin
805,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2026-03-16,2026-03-16 00:00:00,analyst1
806,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2026-03-17,2026-03-17 00:00:00,analyst2
807,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2026-03-18,2026-03-18 00:00:00,soc_user
808,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2026-03-19,2026-03-19 00:00:00,admin
809,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2026-03-20,2026-03-20 00:00:00,analyst1
810,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2026-03-21,2026-03-21 00:00:00,analyst2
811,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-03-22,2026-03-22 00:00:00,soc_user
812,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-03-23,2026-03-23 00:00:00,admin
813,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-03-24,2026-03-24 00:00:00,analyst1
814,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-03-25,2026-03-25 00:00:00,analyst2
815,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-03-26,2026-03-26 00:00:00,soc_user
816,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-03-27,2026-03-27 00:00:00,admin
817,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-03-28,2026-03-28 00:00:00,analyst1
818,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-03-29,2026-03-29 00:00:00,analyst2
819,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-03-30,2026-03-30 00:00:00,soc_user
820,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,Low,open,2026-03-31,2026-03-31 00:00:00,admin
821,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Medium,in_progress,2026-04-01,2026-04-01 00:00:00,analyst1
822,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,High,resolved,2026-04-02,2026-04-02 00:00:00,analyst2
823,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Critical,closed,2026-04-03,2026-04-03 00:00:00,soc_user
824,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,Low,open,2026-04-04,2026-04-04 00:00:00,admin
825,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Medium,in_progress,2026-04-05,2026-04-05 00:00:00,analyst1
826,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,High,resolved,2026-04-06,2026-04-06 00:00:00,analyst2
827,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Critical,closed,2026-04-07,2026-04-07 00:00:00,soc_user
828,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,Low,open,2026-04-08,2026-04-08 00:00:00,admin
829,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Medium,in_progress,2026-04-09,2026-04-09 00:00:00,analyst1
830,Unauthorized login attempt,Multiple failed login attempts detected from an unknown IP address.,Authentication,High,resolved,2026-04-10,2026-04-10 00:00:00,analyst2
831,Phishing email reported,User reported a suspicious email requesting sensitive information.,Phishing,Critical,closed,2026-04-11,2026-04-11 00:00:00,soc_user
832,Malware detected on workstation,Malicious software identified on an employee workstation.,Malware,Low,open,2026-04-12,2026-04-12 00:00:00,admin
833,Ransomware alert,Ransomware activity detected encrypting critical system files.,Ransomware,Medium,in_progress,2026-04-13,2026-04-13 00:00:00,analyst1
834,Suspicious network traffic,Abnormal network traffic patterns detected by monitoring tools.,Network Anomaly,High,resolved,2026-04-14,2026-04-14 00:00:00,analyst2
835,Data leakage attempt,Potential exposure of confidential data identified.,Data Breach,Critical,closed,2026-04-15,2026-04-15 00:00:00,soc_user
836,Password brute force detected,Repeated password guessing attempts detected on a user account.,Brute Force,Low,open,2026-04-16,2026-04-16 00:00:00,admin
837,Unpatched vulnerability found,Security patch missing on a critical system component.,Vulnerability,Medium,in_progress,2026-04-17,2026-04-17 00:00:00,analyst1
838,Insider threat investigation,Internal activity flagged for further security investigation.,Insider Threat,High,resolved,2026-04-18,2026-04-18 00:00:00,analyst2
839,Email spoofing incident,Email headers indicate sender address spoofing.,Email Security,Critical,closed,2026-04-19,2026-04-19 00:00:00,soc_user
